longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_share,men_per_household,population_per_room,age_cat
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,0,0,0,1,0,14.659090909090908,2.5555555555555554,0.3659090909090909,4
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,0,0,0,1,0,15.579659106916466,2.109841827768014,0.3382166502324271,3
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,0,0,0,1,0,12.951601908657123,2.8022598870056497,0.338104976141786,4
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,0,0,0,1,0,18.445839874411302,2.547945205479452,0.4379905808477237,4
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,0,0,0,1,0,17.20958819913952,2.1814671814671813,0.34726490473263677,4
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,0,0,0,1,0,23.177366702937977,2.139896373056995,0.44940152339499456,4
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,0,0,0,1,0,19.289940828402365,2.1284046692607004,0.43155818540433927,4
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,0,0,0,1,0,22.132731958762886,1.7882534775888717,0.37274484536082475,4
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,0,0,0,1,0,26.027397260273972,2.026890756302521,0.4720156555772994,4
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,0,0,0,1,0,19.92110453648915,2.172268907563025,0.4370245139475909,4
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,0,0,0,1,0,19.709355131698455,2.263681592039801,0.41326067211625794,4
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,0,0,0,1,0,21.46731373108764,2.0490463215258856,0.4293462746217528,4
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,0,0,0,1,0,19.02850260939382,2.3461538461538463,0.44078683259735046,4
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,0,0,0,1,0,27.442528735632184,1.9827586206896552,0.4956896551724138,4
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,0,0,0,1,0,23.685206205069996,1.9548387096774194,0.4585698070374574,4
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,0,0,0,1,0,25.267857142857142,2.640151515151515,0.6223214285714286,4
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,0,0,0,1,0,17.6500508646999,2.395770392749245,0.40335707019328587,4
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,0,0,0,1,0,23.859934853420196,2.1386138613861387,0.5276872964169381,4
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,0,0,0,1,0,20.321572130415362,2.3627684964200477,0.4421616793211255,4
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,0,0,0,1,0,19.8270126413839,2.5090909090909093,0.4590818363273453,4
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,0,0,0,1,0,24.500665778961384,2.463855421686747,0.5446071904127829,4
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,0,0,0,1,0,22.39170225747407,2.5382513661202184,0.5668090298962782,4
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,0,0,0,1,0,22.208538587848935,2.1234309623430963,0.4166666666666667,4
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,0,0,0,1,0,19.964454976303315,2.624615384615385,0.5053317535545023,4
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,0,0,0,1,0,19.649280575539567,2.3838862559241707,0.4523381294964029,4
-122.28,37.85,29.0,535.0,123.0,317.0,119.0,2.4038,107500.0,0,0,0,1,0,22.990654205607477,2.6638655462184873,0.5925233644859813,4
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,0,0,0,1,0,21.5929203539823,2.5397489539748954,0.5371681415929204,4
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,0,0,0,1,0,22.18124341412013,2.7758186397984885,0.5806111696522656,4
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,0,0,0,1,0,23.631123919308358,2.3911205073995774,0.5432276657060519,4
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,0,0,0,1,0,21.947873799725652,2.5483870967741935,0.541838134430727,4
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,0,0,0,1,0,23.329853862212943,2.2830687830687832,0.45041753653444677,4
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,0,0,0,1,0,22.34091964700418,2.6485260770975056,0.5424988388295402,4
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,0,0,0,1,0,21.279916753381894,3.062686567164179,0.5338189386056191,4
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,0,0,0,1,0,22.114803625377643,2.291793313069909,0.4555891238670695,4
-122.27,37.83,51.0,2665.0,574.0,1510.0,536.0,2.7303,109700.0,0,0,0,1,0,21.53846153846154,2.8171641791044775,0.5666041275797373,4
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,0,0,0,1,0,23.209876543209877,2.159090909090909,0.4691358024691358,4
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,0,0,0,1,0,24.026696329254726,2.6390374331550803,0.5489432703003337,4
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,0,0,0,1,0,25.810721376571806,2.235732009925558,0.5962938451356717,4
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,0,0,0,1,0,22.448979591836736,2.2297734627831716,0.46870748299319726,4
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,0,0,0,1,0,29.399671052631575,1.978448275862069,0.5662006578947368,4
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,0,0,0,1,0,25.165165165165167,2.3949367088607594,0.5681681681681682,4
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,0,0,0,1,0,33.22649572649573,2.076305220883534,0.5523504273504274,4
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,0,0,0,1,0,28.330995792426368,2.4444444444444446,0.6479663394109397,4
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,0,0,0,1,0,21.263157894736842,2.3585858585858586,0.49157894736842106,4
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,0,0,0,1,0,21.55232155232155,2.26027397260274,0.4573804573804574,4
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,0,0,0,1,0,25.36231884057971,1.8795811518324608,0.4335748792270531,4
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,0,0,0,1,0,28.62222222222222,2.026315789473684,0.5475555555555556,4
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,0,0,0,1,0,30.98311817279047,2.205533596837945,0.5541211519364448,4
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,0,0,0,1,0,31.25,2.64375,0.6778846153846154,4
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,0,0,0,1,0,39.64059196617336,1.9886363636363635,0.7399577167019028,4
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,0,0,0,1,0,50.55803571428571,1.678082191780822,0.8203125,3
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,0,0,0,1,0,24.411134903640257,2.6068796068796067,0.5679871520342612,4
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,0,0,0,1,0,26.482458863706924,2.720833333333333,0.6081962123564111,4
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,0,0,0,1,0,27.975460122699385,2.905,0.7128834355828221,4
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,0,0,0,1,0,20.085470085470085,3.0085836909871246,0.5991452991452991,4
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,0,0,0,1,0,25.71428571428571,2.618181818181818,0.6095238095238096,4
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,0,0,0,1,0,23.263327948303715,2.4015444015444016,0.5024232633279483,4
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,0,0,0,1,0,22.498321020819343,2.9836065573770494,0.4889187374076561,4
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,0,0,0,1,0,24.585436193222783,3.5328947368421053,0.7743330930064888,4
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,0,0,0,1,0,27.21518987341772,1.6491228070175439,0.5949367088607594,1
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,0,0,0,1,0,18.822479928635147,2.962566844919786,0.49420160570918825,4
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,0,0,0,1,0,21.48148148148148,3.739130434782609,0.6370370370370371,4
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,0,0,0,1,0,25.0,3.0901639344262297,0.49605263157894736,4
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.1909999999999998,76100.0,0,0,0,1,0,19.362745098039216,3.2767295597484276,0.4256535947712418,4
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,0,0,0,1,0,21.980676328502415,2.9473684210526314,0.47342995169082125,4
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,0,0,0,1,0,20.693069306930692,3.229946524064171,0.598019801980198,4
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,0,0,0,1,0,24.329896907216494,2.3734939759036147,0.5415807560137457,4
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,0,0,0,1,0,23.758519961051608,3.3469387755102042,0.4790652385589094,4
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,0,0,0,1,0,19.055944055944053,3.341463414634146,0.479020979020979,4
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,0,0,0,1,0,22.991788646911818,2.983633387888707,0.6508389860764013,4
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,0,0,0,1,0,19.791666666666664,3.0866141732283463,0.5104166666666666,4
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,0,0,0,1,0,31.76470588235294,2.101083032490975,0.6224598930481283,4
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,0,0,0,1,0,24.170616113744074,3.6842105263157894,0.6635071090047393,4
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,0,0,0,1,0,33.33333333333333,2.5714285714285716,1.5,4
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,0,0,0,1,0,19.281437125748504,2.180451127819549,0.3473053892215569,3
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,0,0,0,1,0,37.348423605497175,1.7357630979498861,0.6160064672594988,3
